,race,rank_id,horse_no,actual_pound,position,head_distance,participants,blocking_1,blocking_2,blocking_3,blocking_4,blocking_5,blocking_6,temper,order,distance,narrow,ground
60,202005035,625,D230,0.3,0.714285714,0.607142857,0.7,0.357142857,0.214285714,0.857142857,0,0,0,0.34168956,0.857142857,0.166666667,0.714285714,1
61,202005035,625,D266,0.45,0.785714286,0.517857143,0.7,0.571428571,0.5,0.785714286,0,0,0,0.446428571,0.785714286,0.166666667,0.714285714,1
62,202005035,625,D322,0.5,0.071428571,0.482142857,0.7,0.5,0.642857143,0.714285714,0,0,0,0.392857143,0.714285714,0.166666667,0.714285714,1
63,202005035,625,B250,0.6,0.428571429,0,0.7,0.142857143,0.142857143,0.071428571,0,0,0,0.434679487,0.071428571,0.166666667,0.714285714,1
64,202005034,624,D051,0.5,0.071428571,0,0.7,0.928571429,0,0,0,0,0,0.616758242,0,0.166666667,0.714285714,1
65,202005034,624,A168,0.675,0.357142857,0.392857143,0.7,0.857142857,0.857142857,0.642857143,0,0,0,0.489552115,0.642857143,0.166666667,0.714285714,1
66,202005034,624,C457,0.45,0.428571429,0.321428571,0.7,0.428571429,0.5,0.571428571,0,0,0,0.564061864,0.571428571,0.166666667,0.714285714,1
67,202005034,624,D016,0.575,0.5,0.321428571,0.7,0.785714286,0.785714286,0.5,0,0,0,0.642857143,0.5,0.166666667,0.714285714,1
68,202005034,624,D144,0.75,0.785714286,0.303571429,0.7,0.571428571,0.571428571,0.428571429,0,0,0,0.385531136,0.428571429,0.166666667,0.714285714,1
69,202005034,624,C363,0.55,0.857142857,0.285714286,0.7,0.142857143,0.142857143,0.357142857,0,0,0,0.324481074,0.357142857,0.166666667,0.714285714,1
70,202005034,624,C436,0.65,0.571428571,0.214285714,0.7,0.357142857,0.214285714,0.285714286,0,0,0,0.617399267,0.285714286,0.166666667,0.714285714,1
71,202005034,624,C395,0.575,0.642857143,0.071428571,0.7,0.071428571,0.071428571,0.214285714,0,0,0,0.392857143,0.214285714,0.166666667,0.714285714,1
72,202005034,624,D297,0.625,0.714285714,0,0.7,0.285714286,0.357142857,0.142857143,0,0,0,0.571428571,0.142857143,0.166666667,0.714285714,1
73,202005034,624,D175,0.775,0.285714286,0.75,0.7,0.642857143,0.642857143,0.928571429,0,0,0,0.50170068,0.928571429,0.166666667,0.714285714,1
74,202005034,624,B027,0.7,1,0.535714286,0.7,0.714285714,0.714285714,0.857142857,0,0,0,0.633451073,0.857142857,0.166666667,0.714285714,1
75,202005034,624,C449,0.375,0.214285714,0.535714286,0.7,0.214285714,0.285714286,0.785714286,0,0,0,0.247481685,0.785714286,0.166666667,0.714285714,1
76,202005034,624,D207,0.525,0.142857143,0.482142857,0.7,1,0.928571429,0.714285714,0,0,0,0.443452381,0.714285714,0.166666667,0.714285714,1
77,202005034,624,B473,0.625,0.928571429,0,0.7,0.5,0.428571429,0.071428571,0,0,0,0.590909091,0.071428571,0.166666667,0.714285714,1
78,202005032,622,B182,0.7,0.833333333,0.520833333,0.6,1,1,0.75,0,0,0,0.451293498,0.75,0.166666667,0,0.5
79,202005032,622,C316,0.55,1,0.4375,0.6,0.916666667,0.833333333,0.666666667,0,0,0,0.467490842,0.666666667,0.166666667,0,0.5
80,202005032,622,A408,0.65,0.333333333,0.395833333,0.6,0.166666667,0.083333333,0.583333333,0,0,0,0.376881452,0.583333333,0.166666667,0,0.5
81,202005032,622,P421,0.6,0.416666667,0.333333333,0.6,0.083333333,0.166666667,0.5,0,0,0,0.350750139,0.5,0.166666667,0,0.5
82,202005032,622,B060,0.75,0.916666667,0.3125,0.6,0.833333333,0.75,0.416666667,0,0,0,0.440306122,0.416666667,0.166666667,0,0.5
83,202005032,622,A053,0.575,0.75,0.3125,0.6,0.75,0.666666667,0.333333333,0,0,0,0.47756919,0.333333333,0.166666667,0,0.5
84,202005032,622,C243,0.2,0.666666667,0.166666667,0.6,0.25,0.416666667,0.25,0,0,0,0.311904762,0.25,0.166666667,0,0.5
85,202005032,622,A031,0.525,0.166666667,0.145833333,0.6,0.583333333,0.583333333,0.166666667,0,0,0,0.589686147,0.166666667,0.166666667,0,0.5
86,202005032,622,C322,0.8,0.583333333,1.541666667,0.6,0.5,0.916666667,1,0,0,0,0.300518926,1,0.166666667,0,0.5
87,202005032,622,C236,0.65,0.5,0.833333333,0.6,0.333333333,0.333333333,0.916666667,0,0,0,0.311309524,0.916666667,0.166666667,0,0.5
88,202005032,622,B418,0.75,0.083333333,0.6875,0.6,0.666666667,0.5,0.833333333,0,0,0,0.446588828,0.833333333,0.166666667,0,0.5
89,202005032,622,B263,0.8,0.25,0,0.6,0.416666667,0.25,0.083333333,0,0,0,0.52304304,0.083333333,0.166666667,0,0.5
90,2020050311,631,C225,0.625,0.142857143,0.392857143,0.7,0.642857143,0.785714286,0.785714286,0.642857143,0,0,0.58246892,0.642857143,0.333333333,0.714285714,1
91,2020050311,631,V279,0.35,1,0.375,0.7,0.071428571,0.071428571,0.071428571,0.571428571,0,0,0.334109779,0.571428571,0.333333333,0.714285714,1
92,2020050311,631,B258,0.4,0.428571429,0.303571429,0.7,0.5,0.5,0.5,0.5,0,0,0.618246337,0.5,0.333333333,0.714285714,1
93,2020050311,631,B285,0.825,0.857142857,0.285714286,0.7,0.285714286,0.285714286,0.214285714,0.428571429,0,0,0.579150017,0.428571429,0.333333333,0.714285714,1
94,2020050311,631,B377,0.725,0.785714286,0.285714286,0.7,0.714285714,0.642857143,0.714285714,0.357142857,0,0,0.643186593,0.357142857,0.333333333,0.714285714,1
95,2020050311,631,C367,0.625,0.642857143,0.142857143,0.7,0.357142857,0.357142857,0.357142857,0.285714286,0,0,0.461611008,0.285714286,0.333333333,0.714285714,1
96,2020050311,631,S235,0.55,0.071428571,0.125,0.7,0.571428571,0.428571429,0.428571429,0.214285714,0,0,0.582402854,0.214285714,0.333333333,0.714285714,1
97,2020050311,631,B410,0.425,0.714285714,0.089285714,0.7,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0.479889228,0.142857143,0.333333333,0.714285714,1
98,2020050311,631,D237,0.55,0.571428571,0.732142857,0.7,0.857142857,0.928571429,0.857142857,1,0,0,0.483766234,1,0.333333333,0.714285714,1
99,2020050311,631,D339,0.6,0.928571429,0.732142857,0.7,1,1,0.928571429,0.928571429,0,0,0.535714286,0.928571429,0.333333333,0.714285714,1
100,2020050311,631,C056,0.375,0.5,0.696428571,0.7,0.928571429,0.857142857,1,0.857142857,0,0,0.60121337,0.857142857,0.333333333,0.714285714,1
101,2020050311,631,D234,0.45,0.285714286,0.571428571,0.7,0.428571429,0.571428571,0.571428571,0.785714286,0,0,0.392857143,0.785714286,0.333333333,0.714285714,1
102,2020050311,631,D052,0.475,0.357142857,0.410714286,0.7,0.785714286,0.714285714,0.642857143,0.714285714,0,0,0.624411303,0.714285714,0.333333333,0.714285714,1
103,2020050311,631,B409,0.675,0.214285714,0,0.7,0.214285714,0.214285714,0.285714286,0.071428571,0,0,0.438177448,0.071428571,0.333333333,0.714285714,1
104,2020050310,630,C463,0.5,0.333333333,0.770833333,0.6,0.75,0.833333333,0.75,0,0,0,0.425824176,0.75,0.166666667,0,0.5
105,2020050310,630,C192,0.625,0.916666667,0.6875,0.6,0.083333333,0.166666667,0.666666667,0,0,0,0.467806268,0.666666667,0.166666667,0,0.5
106,2020050310,630,B192,0.625,0.833333333,0.541666667,0.6,0.5,0.416666667,0.583333333,0,0,0,0.408622423,0.583333333,0.166666667,0,0.5
107,2020050310,630,A221,0.475,0.416666667,0.5,0.6,0.583333333,0.583333333,0.5,0,0,0,0.507030149,0.5,0.166666667,0,0.5
108,2020050310,630,C193,0.825,0.083333333,0.375,0.6,1,0.916666667,0.416666667,0,0,0,0.567286145,0.416666667,0.166666667,0,0.5
109,2020050310,630,B001,0.725,0.5,0.270833333,0.6,0.666666667,0.5,0.333333333,0,0,0,0.585753532,0.333333333,0.166666667,0,0.5
110,2020050310,630,T265,0.475,0.25,0.125,0.6,0.833333333,0.75,0.25,0,0,0,0.614717438,0.25,0.166666667,0,0.5
111,2020050310,630,C166,0.775,0.583333333,0,0.6,0.166666667,0.083333333,0.166666667,0,0,0,0.459746463,0.166666667,0.166666667,0,0.5
112,2020050310,630,D174,0.65,0.75,1.770833333,0.6,0.25,0.333333333,1,0,0,0,0.406462585,1,0.166666667,0,0.5
113,2020050310,630,A022,0.35,0.666666667,0.854166667,0.6,0.333333333,0.666666667,0.916666667,0,0,0,0.585361136,0.916666667,0.166666667,0,0.5
114,2020050310,630,B110,0.5,0.166666667,0.854166667,0.6,0.416666667,0.25,0.833333333,0,0,0,0.476865842,0.833333333,0.166666667,0,0.5
115,2020050310,630,B025,0.675,1,0,0.6,0.916666667,1,0.083333333,0,0,0,0.648695055,0.083333333,0.166666667,0,0.5
116,202004299,620,B294,0.475,1,0.375,0.6,1,1,0.75,0,0,0,0.564278083,0.75,0.166666667,1,1
117,202004299,620,C326,0.7,0.5,0.375,0.6,0.25,0.416666667,0.666666667,0,0,0,0.481418581,0.666666667,0.166666667,1,1
118,202004299,620,T273,0.675,0.833333333,0.354166667,0.6,0.916666667,0.916666667,0.583333333,0,0,0,0.556410256,0.583333333,0.166666667,1,1
119,202004299,620,C004,0.425,0.416666667,0.354166667,0.6,0.333333333,0.333333333,0.5,0,0,0,0.584548464,0.5,0.166666667,1,1
120,202004299,620,V315,0.725,0.25,0.354166667,0.6,0.75,0.75,0.416666667,0,0,0,0.605769231,0.416666667,0.166666667,1,1
121,202004299,620,D276,0.825,0.916666667,0.229166667,0.6,0.416666667,0.25,0.333333333,0,0,0,0.485042735,0.333333333,0.166666667,1,1
122,202004299,620,B069,0.7,0.75,0.229166667,0.6,0.166666667,0.166666667,0.25,0,0,0,0.375635938,0.25,0.166666667,1,1
123,202004299,620,C318,0.525,0.333333333,0.1875,0.6,0.5,0.583333333,0.166666667,0,0,0,0.569347319,0.166666667,0.166666667,1,1
124,202004299,620,C512,0.65,0.583333333,1.3125,0.6,0.666666667,0.666666667,1,0,0,0,0.333333333,1,0.166666667,1,1
125,202004299,620,D350,0.825,0.166666667,0.791666667,0.6,0.833333333,0.833333333,0.916666667,0,0,0,0.458333333,0.916666667,0.166666667,1,1
126,202004299,620,V286,0.3,0.666666667,0.416666667,0.6,0.083333333,0.083333333,0.833333333,0,0,0,0.286101399,0.833333333,0.166666667,1,1
127,202004299,620,T265,0.25,0.083333333,0,0.6,0.583333333,0.5,0.083333333,0,0,0,0.614717438,0.083333333,0.166666667,1,1
128,202004298,619,A005,0.55,0.333333333,0.333333333,0.6,0.5,0.583333333,0.75,0.75,0,0,0.548378628,0.75,0.666666667,1,1
129,202004298,619,B427,0.375,0.166666667,0.291666667,0.6,0.333333333,0.333333333,0.416666667,0.666666667,0,0,0.548350538,0.666666667,0.666666667,1,1
130,202004298,619,C285,0.6,0.833333333,0.25,0.6,0.916666667,0.916666667,0.916666667,0.583333333,0,0,0.579182722,0.583333333,0.666666667,1,1
131,202004298,619,B238,0.5,0.583333333,0.1875,0.6,0.083333333,0.083333333,0.083333333,0.5,0,0,0.517365042,0.5,0.666666667,1,1
